frame.time_epoch,ip.src,ip.dst,ip.proto,_ws.col.protocol,frame.len
"1744447563.243129000","192.168.1.13","23.11.215.147","17","QUIC","78"
"1744447563.247448000","23.11.215.147","192.168.1.13","6","TLSv1.3","604"
"1744447563.247582000","192.168.1.13","23.11.215.147","6","TCP","54"
"1744447563.247663000","23.11.215.147","192.168.1.13","6","TLSv1.3","1506"
"1744447563.247706000","23.11.215.147","192.168.1.13","6","TLSv1.3","1080"
"1744447563.247733000","192.168.1.13","23.11.215.147","6","TCP","54"
"1744447563.247761000","103.57.86.12","192.168.1.13","17","DNS","140"
"1744447563.247828000","103.57.86.12","192.168.1.13","17","DNS","146"
"1744447563.248993000","192.168.1.13","150.171.27.10","6","TCP","66"
"1744447563.253435000","23.11.215.147","192.168.1.13","17","QUIC","71"
"1744447563.265757000","150.171.27.10","192.168.1.13","6","TCP","66"
"1744447563.265849000","192.168.1.13","150.171.27.10","6","TCP","54"
"1744447563.266044000","192.168.1.13","23.11.215.147","17","QUIC","75"
"1744447563.266568000","192.168.1.13","150.171.27.10","6","SSL","1494"
"1744447563.266568000","192.168.1.13","150.171.27.10","6","TLSv1.2","433"
"1744447563.300562000","192.168.1.13","150.171.27.10","6","TCP","1494"
"1744447563.300619000","192.168.1.13","23.11.215.147","17","QUIC","72"
"1744447563.303508000","150.171.27.10","192.168.1.13","6","TCP","54"
"1744447563.303508000","150.171.27.10","192.168.1.13","6","TCP","54"
"1744447563.303508000","150.171.27.10","192.168.1.13","6","TLSv1.3","153"
"1744447563.303508000","23.11.215.147","192.168.1.13","17","QUIC","67"
"1744447563.304348000","192.168.1.13","150.171.27.10","6","TLSv1.3","719"
"1744447563.316590000","150.171.27.10","192.168.1.13","6","TCP","66"
"1744447563.322105000","150.171.27.10","192.168.1.13","6","TCP","54"
"1744447563.327411000","150.171.27.10","192.168.1.13","6","TLSv1.3","1506"
"1744447563.327498000","150.171.27.10","192.168.1.13","6","TCP","1506"
"1744447563.327538000","192.168.1.13","150.171.27.10","6","TCP","54"
"1744447563.327578000","150.171.27.10","192.168.1.13","6","TCP","1506"
"1744447563.327611000","150.171.27.10","192.168.1.13","6","TCP","1506"
"1744447563.327639000","192.168.1.13","150.171.27.10","6","TCP","54"
"1744447563.327663000","150.171.27.10","192.168.1.13","6","TLSv1.3","282"
"1744447563.327689000","23.11.215.147","192.168.1.13","17","QUIC","69"
"1744447563.330641000","192.168.1.13","150.171.27.10","6","TLSv1.3","128"
"1744447563.330835000","192.168.1.13","150.171.27.10","6","TLSv1.3","146"
"1744447563.331038000","192.168.1.13","150.171.27.10","6","TLSv1.3","1494"
"1744447563.331038000","192.168.1.13","150.171.27.10","6","TLSv1.3","671"
"1744447563.337120000","23.11.215.147","192.168.1.13","17","QUIC","106"
"1744447563.337120000","23.11.215.147","192.168.1.13","17","QUIC","64"
"1744447563.343386000","23.11.215.147","192.168.1.13","17","QUIC","106"
"1744447563.343386000","23.11.215.147","192.168.1.13","17","QUIC","64"
"1744447563.343758000","192.168.1.13","23.11.215.147","17","QUIC","79"
"1744447563.345124000","192.168.1.13","23.11.215.147","17","QUIC","75"
"1744447563.346210000","150.171.27.10","192.168.1.13","6","TCP","54"
"1744447563.346210000","150.171.27.10","192.168.1.13","6","TCP","54"
"1744447563.346210000","150.171.27.10","192.168.1.13","6","TLSv1.3","513"
"1744447563.346210000","150.171.27.10","192.168.1.13","6","TLSv1.3","116"
"1744447563.346309000","192.168.1.13","150.171.27.10","6","TCP","54"
"1744447563.346654000","192.168.1.13","150.171.27.10","6","TLSv1.3","85"
"1744447563.348529000","150.171.27.10","192.168.1.13","6","TLSv1.3","85"
"1744447563.348529000","150.171.27.10","192.168.1.13","6","TCP","54"
"1744447563.386508000","150.171.27.10","192.168.1.13","6","TCP","54"
"1744447563.386508000","23.11.215.147","192.168.1.13","17","QUIC","67"
"1744447563.386508000","23.11.215.147","192.168.1.13","17","QUIC","395"
"1744447563.386508000","23.11.215.147","192.168.1.13","17","QUIC","133"
"1744447563.386508000","23.11.215.147","192.168.1.13","17","QUIC","65"
"1744447563.387975000","192.168.1.13","23.11.215.147","17","QUIC","79"
"1744447563.396274000","192.168.1.13","150.171.27.10","6","TCP","54"
"1744447563.421477000","23.11.215.147","192.168.1.13","17","QUIC","67"
"1744447563.475727000","150.171.27.10","192.168.1.13","6","TLSv1.3","1215"
"1744447563.475727000","150.171.27.10","192.168.1.13","6","TLSv1.3","85"
"1744447563.475866000","192.168.1.13","150.171.27.10","6","TCP","54"
"1744447563.476537000","192.168.1.13","4.213.25.240","6","SSL","55"
"1744447563.494470000","4.213.25.240","192.168.1.13","6","TCP","66"
"1744447563.944691000",,,,"ARP","60"
"1744447563.944691000",,,,"ARP","60"
"1744447563.944691000",,,,"ARP","60"
"1744447563.944691000",,,,"ARP","60"
"1744447563.944691000",,,,"ARP","60"
"1744447563.944691000",,,,"ARP","60"
"1744447563.944691000",,,,"ARP","60"
"1744447563.944691000",,,,"ARP","60"
"1744447563.944758000",,,,"ARP","42"
"1744447565.186880000","192.168.1.13","23.11.215.147","17","QUIC","469"
"1744447565.215389000","192.168.1.13","23.11.215.147","17","QUIC","349"
"1744447565.234951000","23.11.215.147","192.168.1.13","17","QUIC","70"
"1744447565.234951000","23.11.215.147","192.168.1.13","17","QUIC","71"
"1744447565.241822000","192.168.1.13","23.11.215.147","17","QUIC","75"
"1744447565.258534000","192.168.1.13","23.11.215.147","17","QUIC","349"
"1744447565.273453000","192.168.1.13","23.11.215.147","17","QUIC","1285"
"1744447565.273793000","192.168.1.13","23.11.215.147","17","QUIC","1292"
"1744447565.273823000","192.168.1.13","23.11.215.147","17","QUIC","1003"
"1744447565.281461000","23.11.215.147","192.168.1.13","17","QUIC","70"
"1744447565.281461000","23.11.215.147","192.168.1.13","17","QUIC","70"
"1744447565.291625000","192.168.1.13","23.11.215.147","17","QUIC","75"
"1744447565.301455000","23.11.215.147","192.168.1.13","17","QUIC","67"
